video_id,title,published,views,likes,comments,duration,tags
-YGIV5nrI3M,Just in from the news desk 📰: Gemini 2.5 Computer Use Model,2025-10-30T16:00:00Z,11001,224,4,4.248495242049359,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: ;', 'Video Type:G4D SV: Educational ;', 'ct: AIG; ;', 'gds:Yes;', 'series: Google Developer News;']"
DuP1yo6jWmA,The Halloween Haul - The Developer’s Version,2025-10-30T04:00:12Z,18326,149,8,2.8903717578961645,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: ;', 'type:G4D SV: Holiday or Observance;', 'ct: AIG;;', 'gds:Yes;']"
gYZS61BRXW0,Dev Debates: small commits or big commits? Tests before or after?,2025-10-29T04:01:00Z,11868,169,15,3.828641396489095,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Influence;', 'Campaign: ;', 'Video Type:G4D SV: I/O ;', 'ct: AIG; ;', 'gds:Yes;']"
VwmFyowbSR0,JJ Con • Keynote,2025-10-27T18:52:53Z,1453,31,4,6.6039438246004725,"['Google', 'developers', 'Purpose: Learn;', 'Video Type:Livestream;', 'ct: ;', 'gds:N/A;', 'pr_pr: Google Open Source;', 'ct: AIG;']"
LoV307-d19A,What do you think the second print will show? Go!,2025-10-27T13:00:51Z,6622,95,16,2.833213344056216,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: G4D: Puzzles;', 'Video Type:G4D SV: Educational ;', 'ct: AIG;;', 'gds:Yes;']"
HKW163OhuSU,Introducing Google Maps Grounding in the Gemini API,2025-10-24T19:24:30Z,8172,168,8,5.236441962829949,"['Google', 'developers', 'pr_pr: Gemini API / AI Studio;', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
MwhJ2AAEWVo,Build an AI Restaurant Finder in 60 Seconds with Gemini & Google Maps Grounding in AI Studio,2025-10-24T19:23:11Z,5086,83,6,4.941642422609304,"['Google', 'developers', 'pr_pr: Gemini API / AI Studio;', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
ZHpT3ev2XLA,Vibe Code with Your Voice in Google AI Studio,2025-10-24T18:45:14Z,4346,40,3,4.248495242049359,"['Google', 'developers', 'pr_pr: Gemini API / AI Studio;', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
zlDziSQ4JTk,New & Improved API Key and Project Management in Google AI Studio,2025-10-24T18:35:46Z,3241,37,3,4.897839799950911,"['Google', 'developers', 'pr_pr: Gemini API / AI Studio;', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
joa1N3HlDak,Overview of the new vibe coding experience in AI Studio,2025-10-24T18:34:43Z,17089,349,16,5.638354669333745,"['Google', 'developers', 'pr_pr: Gemini API / AI Studio;', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
wByGcxJFRxk,Explore the new App Gallery in AI Studio,2025-10-24T18:09:10Z,2712,31,3,4.976733742420574,"['Google', 'developers', 'pr_pr: Gemini API / AI Studio;', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
FyTB1vmgM00,Introducing Annotation Mode in AI Studio,2025-10-24T17:15:38Z,5554,115,10,4.787491742782046,"['Google', 'developers', 'pr_pr: Gemini API / AI Studio;', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
yjvE8jLVvDQ,"Good tests catch real bugs in behavior. Change detectors don’t, devs.☝️",2025-10-23T23:01:17Z,4993,119,6,4.0943445622221,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: TIPS; type:G4D SV: Educational ;', 'ct: AIG;', 'gds:Yes;']"
CwqJ0HwarSc,What's on the newsdesk for October on Google for Developers? Take a peek!,2025-10-23T19:00:13Z,2480,40,3,3.4965075614664802,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: ;', 'Video Type:G4D SV: Educational ;', 'ct: AIG; ;', 'gds:Yes;']"
BWX8cnMTq7E,"Google Computer Use model, Gemini CLI extensions, and more! - Google Developer News October 2025",2025-10-23T16:00:18Z,12296,342,20,5.8916442118257715,"['Google', 'developers', 'ct: AIG;']"
DePOMEBfvWQ,Introducing the new vibe coding in AI Studio,2025-10-22T20:54:56Z,27909,551,39,4.852030263919617,"['Google', 'developers', 'pr_pr: Gemini API / AI Studio;', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: AIG;', 'gds:N/A;']"
JhNC3iEZn5A,"The name’s not Amy, but you should register for DevFest.",2025-10-22T16:40:27Z,20609,151,13,2.4849066497880004,"['Google', 'developers', 'pr_pr: Google Developer Groups;', 'Purpose: Learn;', 'Campaign: ;', 'Video Type:Trailer/Promo;', 'ct: AIG; ;', 'gds:Yes;']"
8uYhYLaR2Cw,"That moment when the code works, but the explanation is still compiling.",2025-10-22T04:00:12Z,9410,137,11,2.8903717578961645,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Influence;', 'Campaign: ;', 'Video Type:G4D SV: Comedic skits;', 'ct: AIG; ;', 'gds:Yes;']"
